asset,amount,buy,sell,skip,
VTI,24,1.0,,FALSE,
SH,6,1.0,2.0,FALSE,
VEA,20,1.0,,FALSE,
VWO,15,1.0,,FALSE,
VIG,8,1.0,,FALSE,
XLE,5,1.0,,FALSE,
VTEB,15,1.0,0.3,FALSE,
VIXY,3.5,1.0,3.0,FALSE,
VXX,3.5,1.0,3.0,FALSE,
