asset,amount,buy,sell,skip,
QQQ,20,1.0,,FALSE,
VGT,15,1.0,,FALSE,
NVDA,12,1.0,,FALSE,
AAPL,10,1.0,,FALSE,
AIQ,8,1.0,,FALSE,
MSFT,8,1.0,,FALSE,
GOOGL,6,1.0,,FALSE,
AMZN,5,1.0,,FALSE,
META,4,1.0,,FALSE,
NFLX,4,1.0,,FALSE,
FTEC,3,1.0,,FALSE,
AMD,2,1.0,,FALSE,
AVGO,2,1.0,,FALSE,
CRM,1,1.0,,FALSE,
