asset,amount,buy,sell,skip,
XLE,15,1.0,,FALSE,
UUUU,12,1.0,,FALSE,
URG,10,1.0,,FALSE,
SMR,10,1.0,,FALSE,
VDE,8,1.0,,FALSE,
REE,8,1.0,,FALSE,
URA,7,1.0,,FALSE,
REMX,6,1.0,,FALSE,
CCJ,5,1.0,,FALSE,
NXE,4,1.0,,FALSE,
MP,4,1.0,,FALSE,
LEU,3,1.0,,FALSE,
LTBR,3,1.0,,FALSE,
DNN,2,1.0,,FALSE,
URNM,2,1.0,,FALSE,
TMRG,1,1.0,,FALSE,
