asset,amount,buy,sell,skip,
VTI,28,1.0,,FALSE,
VEA,24,1.0,,FALSE,
VWO,18,1.0,,FALSE,
VIG,12,1.0,,FALSE,
VTEB,18,1.0,,FALSE,
